Gene	Chr	ABRF-ILMN-RIBO-A-1	ABRF-ILMN-RIBO-A-2	ABRF-ILMN-RIBO-A-3	ABRF-ILMN-RIBO-A-4	ABRF-ILMN-RIBO-B-1	ABRF-ILMN-RIBO-B-2	ABRF-ILMN-RIBO-B-3	ABRF-ILMN-RIBO-B-4	ABRF-ILMN-RNA-A-1	ABRF-ILMN-RNA-A-2	ABRF-ILMN-RNA-A-3	ABRF-ILMN-RNA-A-4	ABRF-ILMN-RNA-B-1	ABRF-ILMN-RNA-B-2	ABRF-ILMN-RNA-B-3	ABRF-ILMN-RNA-B-4
LYPD1	chr2	133	64	83	121	99	66	60	72	216	305	338	352	264	232	317	259
LYPD2	chr8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYPD3	chr19	18	22	18	8	0	0	0	0	388	294	205	304	16	0	16	8
LYPD4	chr19	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
LYPD5	chr19	7	2	4	8	466	592	319	303	12	42	14	14	1208	1113	1341	1118
LYPD6	chr2	759	496	402	541	933	1058	565	632	724	1073	1106	1203	1263	1107	1493	1176
LYPD6B	chr2	135	104	81	96	45	60	44	35	290	281	245	354	113	103	155	122
LYPLA1	chr8	10448	7729	7410	12339	1593	1852	1143	1097	9560	14298	15294	17613	2701	2449	3103	3125
LYPLA2	chr1	86	62	31	28	68	143	39	39	990	609	310	455	307	411	457	182
LYPLAL1	chr1	2848	1942	2032	3075	1964	2216	1423	1244	2117	2789	3211	3559	1885	1688	2371	1929
LYRM1	chr16	1389	1069	979	1311	1074	1379	717	754	2337	2970	2971	3779	2839	2396	3472	2601
LYRM2	chr6	3297	2221	2076	2999	2631	2993	1750	1780	3436	4524	4981	5557	3503	2863	4224	3498
LYRM4	chr6	924	660	426	606	524	691	440	374	2241	2435	1889	2652	1250	1338	1681	1143
LYRM7	chr5	6310	4508	4315	6723	4083	4852	2966	2815	4827	6609	7202	8069	5340	4697	6466	5408
LYSMD1	chr1	554	372	291	289	760	988	622	542	979	1061	934	1155	1314	1173	1676	1282
LYSMD2	chr15	439	298	256	392	1326	1595	881	969	648	868	1023	1022	3576	3175	4308	3178
LYSMD3	chr5	61	47	21	46	26	30	16	17	2	13	15	19	16	5	10	14
LYSMD4	chr15	297	204	147	245	342	456	252	275	540	485	462	532	834	818	1053	754
LYST	chr1	10404	7083	6601	9124	14899	18261	11008	10246	4058	5170	5477	6272	8938	7821	11035	9103
LYVE1	chr11	18	12	11	20	612	756	394	428	24	18	22	22	824	743	973	747
LYZ	chr12	2831	1864	1150	1247	47	44	51	37	7279	8479	6234	8831	54	55	58	140
LYZL1	chr10	2	2	1	0	0	0	0	0	0	3	3	0	0	0	0	0
LYZL2	chr10	0	0	4	1	0	0	0	0	0	6	8	0	0	0	0	0
LYZL4	chr3	0	0	0	4	6	4	0	1	1	0	0	0	24	8	20	9
LYZL6	chr17	0	0	2	0	0	0	0	1	0	4	0	0	0	0	0	0
LZIC	chr1	3183	2200	1712	2503	2144	2633	1614	1517	3211	4127	3914	4580	2584	2239	3205	2446
LZTFL1	chr3	2902	1999	1866	2770	3337	3843	2562	2358	2917	3995	4696	4875	5185	4613	6387	5445
LZTR1	chr22	381	262	174	159	530	670	320	267	1864	1133	602	877	1061	1708	1811	914
LZTS1	chr8	154	100	66	50	450	490	203	232	848	507	336	502	870	1049	1182	759
LZTS2	chr10	251	155	120	164	343	482	246	240	1065	611	387	557	982	1046	1203	699
M6PR	chr12	3834	2558	2014	2446	1557	2080	1326	1110	7290	8130	6700	9159	3285	3167	4244	3045
MAB21L1	chr13	42	32	22	21	928	1146	724	665	2	6	2	0	1660	1650	2180	1582
MAB21L2	chr4	176	138	95	137	90	89	35	74	104	126	102	108	54	36	62	47
MAB21L3	chr1	40	14	13	31	15	33	12	10	43	32	26	28	9	19	37	34
MACC1	chr7	2924	1857	1798	2486	16	36	27	14	734	1096	1066	1133	8	0	6	15
MACF1	chr1	28663	19812	15127	17906	61935	75894	43625	39067	13885	16496	14192	17805	38957	37929	49881	37020
MACROD1	chr11	94	69	32	46	63	71	25	66	705	448	254	388	137	217	209	179
MACROD2	chr20	547	456	436	599	2156	2647	1565	1485	353	345	412	400	2682	2458	3004	2522
MAD1L1	chr7	169	93	90	78	137	202	100	90	643	389	230	306	197	285	306	164
MAD2L1	chr4	6222	4296	4118	6372	368	463	250	209	6762	9361	10635	11502	502	494	598	605
MAD2L1BP	chr6	440	292	200	227	319	399	203	201	1608	1523	1268	1579	674	892	1142	700
MAD2L2	chr1	180	193	96	75	105	127	70	61	2110	1489	740	1264	382	545	584	371
MADCAM1	chr19	0	3	2	2	12	37	22	8	7	13	0	8	124	140	154	146
MADD	chr11	1043	745	408	455	5784	7887	3992	3398	3298	2867	2011	2867	12473	14280	17937	11083
MAEA	chr4	932	682	473	785	831	1197	610	492	2539	2392	2318	2786	2543	2404	2981	2385
MAEL	chr1	7	6	6	17	187	201	144	124	6	6	28	8	455	378	524	494
MAF	chr16	7691	5229	5259	7742	2868	3301	1904	1829	7855	10868	11511	12932	4077	3391	4649	4099
MAF1	chr8	213	160	70	66	343	501	229	194	2038	1242	647	1128	1206	1698	1727	1042
MAFA	chr8	16	8	8	4	4	0	0	2	18	16	6	16	0	4	2	10
MAFB	chr20	176	112	118	157	276	355	194	197	484	504	522	596	710	594	830	628
MAFF	chr22	210	159	76	92	187	244	125	111	911	809	631	793	735	672	963	529
MAFG	chr17	787	581	404	710	926	1123	656	597	2100	1905	1624	2063	1884	2095	2675	1705
MAFK	chr7	288	234	193	247	146	227	109	99	1281	839	750	983	519	610	726	438
MAG	chr19	4	2	2	0	807	1214	608	539	11	13	2	10	3111	4454	4732	2524
MAGEA1	chrX	332	247	218	419	0	0	0	0	783	841	765	875	4	0	0	2
MAGEA10	chrX	533	397	346	472	4	2	2	0	1235	1548	1346	1727	0	2	2	6
MAGEA11	chrX	38	28	14	28	0	0	2	0	98	125	81	128	0	0	0	2
MAGEA12	chrX	864	539	564	832	8	12	14	2	1721	1879	1956	2233	14	6	4	28
MAGEA2	chrX	2	0	0	0	0	0	0	0	11	7	3	6	0	0	0	0
MAGEA2B	chrX	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0
MAGEA3	chrX	819	510	494	673	0	0	2	0	1857	2097	1831	2173	4	0	4	10
MAGEA4	chrX	24	18	32	40	0	0	0	0	56	70	92	86	0	0	0	2
MAGEA6	chrX	706	452	420	628	2	0	0	0	1698	1754	1622	1998	2	0	0	8
MAGEA8	chrX	10	4	8	19	12	8	8	15	32	42	18	35	8	11	17	7
MAGEA9	chrX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEA9B	chrX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEB1	chrX	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
MAGEB10	chrX	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEB16	chrX	58	35	33	40	0	0	0	0	90	90	110	134	0	0	0	0
MAGEB17	chrX	0	2	1	0	0	0	3	0	9	0	2	2	1	2	2	0
MAGEB18	chrX	1	2	0	2	0	0	0	0	4	4	2	6	0	0	0	4
MAGEB2	chrX	226	202	162	192	0	0	0	0	572	647	655	736	0	0	0	2
MAGEB3	chrX	6	8	0	0	0	4	2	0	30	14	8	12	4	2	8	0
MAGEB4	chrX	4	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0
MAGEB5	chrX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEB6	chrX	18	4	10	14	0	0	0	0	48	38	62	55	0	0	0	0
MAGEC1	chrX	536	376	283	334	0	0	2	0	2337	2727	2484	3022	4	2	4	22
MAGEC2	chrX	597	442	368	533	0	0	0	2	1197	1577	1363	1644	2	0	0	6
MAGEC3	chrX	10	22	18	12	21	52	27	21	87	95	83	93	110	135	119	61
MAGED1	chrX	2391	1749	1152	1259	3707	4832	2637	2238	9931	9150	7014	9839	10907	12073	14790	9772
MAGED2	chrX	1557	1083	714	785	2651	3183	1769	1519	6652	5738	4187	5908	6973	7863	9652	6069
MAGED4	chrX	0	0	0	2	0	0	0	0	4	5	2	4	4	2	0	0
MAGED4B	chrX	0	0	0	0	4	0	0	0	4	0	0	4	3	2	0	0
MAGEE1	chrX	152	84	54	87	2664	3384	1784	1694	266	380	312	370	6406	6375	8482	6362
MAGEE2	chrX	4	4	0	7	342	443	266	245	4	2	16	4	786	700	962	694
MAGEF1	chr3	1593	1079	964	1346	1366	1809	997	950	2907	3387	3389	3836	3727	3350	4408	3652
MAGEH1	chrX	228	190	156	240	1754	2423	1214	1264	618	716	568	740	4431	4306	5764	4465
MAGEL2	chr15	22	6	6	8	98	176	76	76	54	38	64	59	262	302	364	272
MAGI1	chr3	1017	708	507	612	3470	4586	2739	2325	697	741	539	730	2774	2543	3491	2514
MAGI2	chr7	375	309	242	305	6689	8246	4784	4272	440	546	537	690	8347	7691	10711	8238
MAGI3	chr1	2781	2001	1572	2205	5217	6029	3831	3472	1570	2025	2098	2335	4816	4391	5857	4458
MAGIX	chrX	28	14	2	10	121	183	67	102	43	30	28	33	243	284	350	227
MAGOH	chr1	1151	832	683	959	439	483	257	238	3306	3514	3493	4635	987	935	1396	1052
MAGOHB	chr12	2703	1858	1847	2729	541	743	423	350	2971	3705	3950	4591	703	616	811	767
MAGT1	chrX	10878	7796	7121	10774	2474	2758	1653	1590	9630	13074	13247	15623	3773	3073	4388	3611
MAK	chr6	655	420	383	480	619	802	416	379	144	168	206	220	79	48	110	98
MAK16	chr8	5269	3677	3096	4516	1412	1598	972	935	4783	5800	6100	7048	1545	1421	2055	1592
MAL	chr2	331	248	147	141	1031	1230	684	586	1600	1520	1015	1476	3901	4387	5321	3560
MAL2	chr8	3998	2808	2702	4306	5114	5811	3646	3192	4966	7085	7528	8335	10167	8950	12331	10370
MALL	chr2	18	4	4	4	2	10	2	2	16	3	2	16	6	8	8	4
MALSU1	chr7	1725	1249	928	1284	765	966	569	433	2771	3310	3456	3897	1456	1297	1826	1489
MALT1	chr18	7981	5466	5138	7373	2292	2791	1724	1585	5740	8010	8363	9242	2665	2336	3351	2750
MAMDC2	chr9	366	314	298	405	303	340	149	194	418	502	576	605	291	296	326	265
MAMDC4	chr9	21	31	14	10	47	70	21	22	376	103	45	96	197	268	342	138
MAML1	chr5	1343	1021	819	957	1350	1795	1011	815	3138	3331	2834	3916	2271	2342	3178	2138
MAML2	chr11	3096	2189	1885	2569	2617	3264	2042	1801	2028	2709	2788	3238	2201	2037	2724	2170
MAML3	chr4	287	249	161	164	771	960	654	489	239	198	210	237	379	380	523	353
MAMLD1	chrX	407	286	256	327	390	452	291	246	883	939	832	1089	1298	1434	1635	1200
MAMSTR	chr19	9	2	6	5	27	58	20	15	86	48	22	29	34	89	95	62
MAN1A1	chr6	17826	12668	12311	18348	2057	2453	1580	1474	14827	21164	24216	25985	2548	2060	3029	2697
MAN1A2	chr1	14178	9835	9088	13434	20557	24010	15045	13970	6864	9396	10041	11949	10419	8995	12421	10282
MAN1B1	chr9	522	405	251	222	558	748	333	360	2727	1705	998	1677	1242	1760	1958	1049
MAN1C1	chr1	153	132	80	92	1548	2042	1027	924	446	420	319	490	3537	3747	4404	3434
MAN2A1	chr5	17328	11645	10969	16244	12867	15740	9470	9067	10171	13845	15457	17360	8437	7046	9449	8398
MAN2A2	chr15	527	431	304	334	1905	2633	1219	1059	3353	2547	1514	2449	5701	7119	8888	4984
MAN2B1	chr19	194	149	82	68	170	169	98	94	2133	1191	703	1064	387	508	572	367
MAN2B2	chr4	551	430	299	310	713	992	484	446	1751	1897	1671	2063	1994	2051	2568	1810
MAN2C1	chr15	356	326	166	122	495	713	371	279	2554	1576	882	1583	1671	2266	2506	1325
MANBA	chr4	3108	1979	1699	2522	2118	2366	1369	1310	3387	3780	3720	4761	1874	1755	2217	1821
MANBAL	chr20	366	202	89	130	372	488	230	245	2187	1910	1650	2086	2126	2410	2857	2104
MANEA	chr6	3123	2291	2289	3336	1699	1878	1135	1145	2157	3280	3657	3923	1842	1503	2098	1856
MANEAL	chr1	183	88	92	88	193	250	110	99	603	568	476	662	441	419	467	337
MANF	chr3	1776	1263	734	817	464	597	337	332	5868	6721	5713	7541	1564	1387	2023	1537
MANSC1	chr12	340	247	188	267	994	1250	707	684	722	864	851	958	2181	1860	2637	2088
MANSC4	chr12	35	23	18	29	29	30	28	16	14	63	30	43	19	16	10	21
MAOA	chrX	759	476	440	560	2279	2774	1567	1484	1014	1326	1196	1358	3735	3443	4576	3548
MAOB	chrX	241	158	102	126	2765	3467	1991	1793	734	812	690	906	9535	9031	12046	9132
MAP1A	chr15	1456	1101	659	654	54930	69577	38348	33919	1746	1661	1214	1744	60661	66879	84578	55318
MAP1B	chr5	24274	16946	14492	20298	219351	271490	159896	147926	12075	16169	16079	18871	187738	171575	230952	187880
MAP1LC3A	chr20	12	2	0	4	193	216	87	100	90	52	26	22	956	1320	1445	642
MAP1LC3B	chr16	3584	2420	2212	3010	7381	8804	5202	4983	9889	12566	13056	15117	28089	24715	33628	27543
MAP1LC3B2	chr12	73	36	22	42	118	160	89	73	282	325	239	359	328	352	477	391
MAP1LC3C	chr1	2	5	2	0	2	10	6	2	15	8	8	8	6	12	14	14
MAP1S	chr19	16	16	10	6	74	142	59	40	242	86	28	54	166	286	304	132
MAP2	chr2	594	369	310	452	112508	136405	81077	75737	550	618	756	861	101142	88894	121226	102288
MAP2K1	chr15	2884	2006	1672	2363	4212	5181	2990	2663	6316	7301	6912	8099	11753	11585	14810	11648
MAP2K2	chr19	172	142	82	72	334	497	241	211	2457	1341	712	1041	1377	1902	2250	1128
MAP2K3	chr17	141	105	81	58	126	130	70	76	1436	1020	599	910	466	580	727	362
MAP2K4	chr17	3433	2467	1957	2849	10506	12735	7648	7187	3610	4517	4628	5402	15650	13766	18189	15336
MAP2K5	chr15	1374	913	814	1112	1428	1869	1038	977	1792	2106	1947	2351	2039	1834	2443	1897
MAP2K6	chr17	753	490	409	540	876	1157	634	575	631	750	789	804	498	441	573	549
MAP2K7	chr19	148	116	83	94	213	307	149	137	1143	746	523	709	753	1002	1282	698
MAP3K1	chr5	10651	7067	6595	9071	2289	2839	1847	1568	5315	7318	7850	8888	1597	1384	1854	1685
MAP3K10	chr19	22	13	11	11	178	311	113	112	198	75	39	42	649	1099	1108	517
MAP3K11	chr11	147	169	101	82	333	424	239	247	1124	486	248	434	533	723	746	355
MAP3K12	chr12	587	395	301	356	1586	2210	1182	939	854	732	518	909	3448	4019	5063	3095
MAP3K13	chr3	2437	1689	1470	1952	3680	4361	2461	2477	2429	3111	3325	3589	3990	3448	4873	4156
MAP3K14	chr17	51	57	13	17	124	135	74	57	503	361	158	270	312	490	603	255
MAP3K15	chrX	154	171	103	128	36	38	24	12	217	186	224	243	39	26	53	41
MAP3K2	chr2	13761	9395	9259	13658	9089	10497	6700	6183	6122	8733	9289	10455	7242	6133	8117	7418
MAP3K3	chr17	671	567	315	426	623	733	447	366	1604	1376	1058	1448	979	1135	1424	892
MAP3K4	chr6	4060	2740	2182	2633	4389	5318	3171	2965	3241	3847	3405	4273	3604	3548	4439	3457
MAP3K5	chr6	1857	1332	1113	1483	8236	9560	5956	5234	1354	1771	1759	2160	8407	7352	9590	7835
MAP3K6	chr1	49	52	24	14	87	159	72	40	591	229	110	221	389	537	506	239
MAP3K7	chr6	8089	5842	5108	7134	5757	6542	3908	3706	6991	10113	10303	11844	7955	6902	9376	8057
MAP3K8	chr10	483	394	311	391	254	306	188	174	693	864	889	1045	328	308	429	307
MAP3K9	chr14	877	619	432	564	5941	7263	3986	3556	1433	1384	1220	1688	8236	7920	10946	7806
MAP4	chr3	8797	6327	4224	4757	19186	23994	13917	12523	15274	15069	11774	15973	40524	40371	53549	37970
MAP4K1	chr19	36	30	11	21	14	34	16	15	386	294	203	249	48	73	98	55
MAP4K2	chr11	76	38	34	30	263	379	180	139	553	326	146	274	619	870	972	441
MAP4K3	chr2	8210	5236	5422	8030	7112	8477	5073	4976	5460	7479	8216	9385	7440	6496	8467	7389
MAP4K4	chr2	9446	6685	4989	6142	10207	12988	7425	6926	13583	15902	13601	17413	15918	15705	20872	15810
MAP4K5	chr14	7854	5237	4855	7191	6375	7586	4564	4560	5647	7898	8471	9517	6709	6210	8086	7070
MAP6	chr11	137	64	76	54	2733	3354	1845	1691	254	256	217	271	6139	6462	8570	5552
MAP6D1	chr3	169	130	60	116	1986	2468	1414	1262	430	546	474	577	6223	6044	7678	5143
MAP7	chr6	2193	1485	1332	2107	7270	9043	5207	4783	3013	3474	3434	4204	10262	9512	12803	9887
MAP7D1	chr1	261	260	117	113	1220	1709	817	719	2820	1846	1235	1696	5109	6760	7870	4281
MAP7D2	chrX	494	336	259	332	4587	5605	3255	2970	783	1099	956	1263	10516	9382	12697	10261
MAP7D3	chrX	3070	1916	1619	2119	187	287	129	96	3185	3928	3872	4900	329	247	353	294
MAP9	chr4	1787	1235	1046	1786	8945	10187	6326	6244	1036	1494	1825	1832	9600	7910	10741	9660
MAPK1	chr22	16103	10786	8831	11867	23700	28658	16931	15908	15645	20408	19815	24553	34603	31898	43204	33493
MAPK10	chr4	171	134	79	147	19631	24153	14374	12804	89	111	124	125	18874	18276	23638	18425
MAPK11	chr22	8	12	4	2	140	205	73	63	298	113	46	128	824	1162	1457	597
MAPK12	chr22	44	45	16	18	77	136	62	49	815	324	181	341	367	471	617	282
MAPK13	chr6	68	59	40	41	141	163	63	65	436	427	250	422	347	408	448	275
MAPK14	chr6	6774	4737	4008	5570	4120	5101	3021	2710	7673	9035	8574	10411	5339	4895	6345	5168
MAPK15	chr8	9	14	0	0	3	7	2	3	91	68	31	22	6	16	28	13
MAPK1IP1L	chr14	7573	5151	5215	7964	3079	3357	1910	1971	7446	9394	9924	11377	3945	3558	4866	3899
MAPK3	chr16	128	97	45	34	672	863	481	360	1907	1302	648	1127	3288	4461	5214	2648
MAPK4	chr18	557	346	303	359	2652	3511	1833	1728	1248	1226	1119	1439	5963	6118	7630	5392
MAPK6	chr15	13805	9425	8395	12289	9743	11833	7053	6714	11195	16471	17544	20198	13355	11187	15227	13385
MAPK7	chr17	106	69	89	52	102	102	63	44	589	390	244	356	160	275	215	127
MAPK8	chr10	4599	3212	2954	4237	7243	8759	5437	4985	4011	5470	5836	6473	9005	8083	10903	9595
MAPK8IP1	chr11	49	43	18	14	986	1527	710	628	271	187	109	172	4025	5197	5800	3164
MAPK8IP2	chr22	8	19	4	14	1246	1796	747	691	141	105	42	80	4903	6297	7289	3965
MAPK8IP3	chr16	357	267	198	215	1930	2759	1261	1142	1397	736	454	723	4264	6125	6559	3122
MAPK9	chr5	3453	2440	2027	3026	10203	12369	7321	7359	4583	5959	5973	6986	21752	19432	26552	20158
MAPKAP1	chr9	4604	3169	2491	3259	2882	3450	2031	1695	6679	7356	6980	8957	5000	4639	5957	4494
MAPKAPK2	chr1	1034	813	528	477	712	907	436	365	4684	4079	2784	3963	1854	1990	2367	1645
MAPKAPK3	chr3	564	424	224	221	164	232	113	104	2455	2010	1263	1945	356	446	636	278
MAPKAPK5	chr12	2753	1857	1310	1623	1927	2440	1363	1227	3387	3909	3520	4448	1784	1927	2486	1894
MAPKBP1	chr15	244	186	99	75	1849	2518	1218	1029	703	496	335	474	3610	4217	5102	3123
MAPRE1	chr20	9670	6745	5685	7911	3119	3500	2250	2063	16172	20809	19528	24745	4328	4033	5218	4418
MAPRE2	chr18	2952	2192	1806	2417	16742	20854	12306	11029	5079	6375	5947	6846	30477	28851	38172	29707
MAPRE3	chr2	122	150	96	52	1834	2451	1227	1188	702	621	430	633	8369	9626	12423	7143
MAPT	chr17	218	150	83	131	8908	11862	6213	5767	615	584	379	532	24557	28097	35506	21887
MARCKS	chr6	13199	9405	9273	14600	16077	18952	12013	11261	12773	16995	19134	20985	27380	24079	32321	28716
MARCKSL1	chr1	2253	1631	1397	1783	3020	4064	2092	2095	9636	10514	9592	12424	14554	14616	20113	13433
MARCO	chr2	0	0	0	0	24	26	4	8	0	0	0	0	54	48	58	38
MARK1	chr1	828	542	501	680	3322	4090	2425	2216	825	936	1013	1155	4195	3690	5379	4215
MARK2	chr11	883	628	535	472	1113	1487	875	696	1737	1528	1252	1733	1853	2138	2674	1573
MARK3	chr14	5993	4079	3450	4593	6326	8040	4932	4348	7006	8017	7901	9420	8301	7824	10501	7791
MARK4	chr19	161	126	56	79	706	937	489	379	1174	767	519	708	1839	2278	2779	1512
MARS2	chr2	665	519	464	714	371	496	322	290	1170	1186	1108	1409	484	534	598	603
MARVELD1	chr10	934	712	525	558	135	137	89	89	3537	3485	2490	3572	379	345	391	349
MARVELD2	chr5	791	536	479	623	130	172	82	63	699	789	743	977	133	158	129	102
MARVELD3	chr16	110	120	119	103	25	84	33	37	158	228	208	228	28	23	36	11
MAS1	chr6	0	8	2	0	174	211	106	113	10	7	12	2	33	61	39	20
MAS1L	chr6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MASP1	chr3	513	420	287	275	420	520	338	240	1407	1503	1061	1528	782	822	1059	713
MASP2	chr1	428	309	220	268	778	1039	555	546	363	487	445	549	1140	1221	1439	1338
MAST1	chr19	6	13	7	5	484	683	331	297	255	125	63	96	1804	2577	2621	1378
MAST2	chr1	864	680	498	457	972	1268	696	557	3079	2080	1367	1925	1691	2258	2795	1564
MAST3	chr19	118	71	66	28	1850	2718	1205	1125	707	508	300	444	4077	4774	5924	3571
MAST4	chr5	1735	1186	1061	1501	3568	4698	2576	2539	1070	1359	1354	1547	3593	3437	4717	3961
MASTL	chr10	5082	3677	3177	4780	730	774	512	469	4374	6221	6429	7343	847	687	1033	900
MAT1A	chr10	157	134	66	102	5	5	2	2	560	633	449	628	0	8	10	9
MAT2A	chr2	15880	10758	8760	11014	8102	10035	6217	5658	35619	46787	43848	54953	25209	22696	31269	25074
MAT2B	chr5	4928	3286	3046	4408	5199	6412	3841	3633	6166	8652	8713	9812	10170	9133	11946	10053
MATK	chr19	16	8	2	4	59	102	41	43	238	91	46	53	179	295	382	142
MATN1	chr1	2	4	2	6	4	12	6	4	58	24	22	20	23	14	33	41
MATN2	chr8	1298	979	766	1000	1363	1665	959	870	2167	2784	2555	3056	2245	2029	2754	2255
MATN3	chr2	1754	1279	1240	1807	101	113	77	74	3549	4740	4682	5516	357	280	442	325
MATN4	chr20	0	0	0	0	0	1	0	0	2	0	0	1	0	2	0	0
MATR3	chr5	47742	33200	29845	41673	43919	53015	31998	31126	38699	52799	56359	63110	67286	58852	79935	67271
MAU2	chr19	667	439	360	464	761	995	543	528	2062	1651	1386	1832	2131	2606	2859	1926
MAVS	chr20	990	729	470	553	516	707	385	394	1208	958	730	1013	615	688	731	492
MAX	chr14	1486	997	889	1155	1770	2466	1262	1174	2977	3366	3329	3779	4706	4678	6091	4500
MAZ	chr16	103	105	73	24	81	163	69	47	1404	635	371	541	423	558	598	325
MB	chr22	52	36	18	28	2	0	0	2	190	165	134	214	11	22	14	8
MB21D2	chr3	586	416	362	532	854	1086	606	519	662	654	742	868	1136	985	1382	1086
MBD1	chr18	1240	835	689	850	1378	1693	984	818	2533	2885	2543	2949	3044	3075	4146	2884
MBD2	chr18	3210	2490	2039	2800	2920	3270	2022	1839	4886	6465	6351	7630	4326	3936	5688	4543
MBD3	chr19	10	22	6	8	22	74	20	22	617	154	60	92	203	346	349	162
MBD3L1	chr19	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
MBD3L2	chr19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBD3L3	chr19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBD3L4	chr19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBD3L5	chr19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBD4	chr3	3955	2683	2437	3174	1963	2383	1472	1386	4670	6341	6421	7523	3542	3115	4063	3396
MBD5	chr2	1694	1249	944	1244	5107	6416	3556	3375	1089	1281	1156	1502	3463	3230	4189	3453
MBD6	chr12	136	118	70	70	188	309	113	105	1713	1194	652	1106	924	1074	1384	784
MBIP	chr14	2103	1416	1410	1941	1358	1613	908	977	2575	3582	3778	4059	2651	2189	2929	2515
MBL2	chr10	191	124	112	182	0	0	0	0	173	180	236	264	0	4	0	0
MBLAC1	chr7	1	7	12	1	42	27	18	33	44	21	21	29	59	89	80	43
MBLAC2	chr5	191	150	117	160	84	120	49	57	153	172	169	154	41	60	54	46
MBNL1	chr3	22707	15848	15229	22560	10451	12457	7667	7231	15002	20684	21846	24859	11795	10480	14416	12660
MBNL2	chr13	11045	7799	7408	10967	22535	26448	16369	15773	6862	9466	10353	11826	25663	22947	30642	26568
MBNL3	chrX	18931	13250	12520	19353	630	731	523	475	10612	14140	15279	17377	419	438	525	608
MBOAT1	chr6	1482	898	685	951	104	157	82	94	1665	2035	1916	2423	191	184	232	221
MBOAT2	chr2	5769	4039	3874	5704	8813	10502	6203	6190	4292	5877	6337	6891	9806	8293	11417	9496
MBOAT4	chr8	8	10	12	11	6	7	3	6	19	12	6	10	2	0	1	4
MBOAT7	chr19	329	250	135	126	913	1259	660	527	2834	2264	1233	2030	3485	4265	5217	3066
MBP	chr18	1462	920	752	1053	63778	88110	44206	40177	2274	2284	2209	2807	279799	318756	384254	239696
MBTD1	chr17	5090	3342	3196	4385	2270	2638	1690	1557	5296	7084	7820	8890	3116	2649	3699	3190
MBTPS1	chr16	5553	3804	2888	3923	3545	4631	2537	2341	9577	10143	9381	11316	7069	7234	9541	6705
MBTPS2	chrX	3093	2144	2201	3101	2113	2482	1581	1591	3822	5340	5847	6571	4220	3533	4728	4071
MC1R	chr16	10	6	2	4	0	5	5	2	29	6	10	17	14	16	20	16
MC2R	chr18	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
MC3R	chr20	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0
MC4R	chr18	4	6	0	3	75	116	64	67	8	6	6	8	120	161	171	134
MC5R	chr18	0	2	2	0	2	2	0	0	2	2	6	2	0	2	6	6
MCAM	chr11	645	504	310	249	1241	1681	956	743	3729	2565	1716	2685	4035	4906	5821	3322
MCAT	chr22	65	59	23	30	97	156	71	51	398	279	149	284	242	326	390	263
MCC	chr5	3421	2408	2101	2874	2570	3299	1849	1866	2347	3006	2870	3667	2734	2522	3276	2924
MCCC1	chr3	1547	1212	856	938	2014	2368	1421	1236	2489	2693	2658	3153	2628	2511	3510	2762
MCCC2	chr5	6313	4320	3486	4711	1664	2091	1242	1074	9259	11918	11845	14429	3135	2778	3794	3114
MCCD1	chr6	4	2	1	0	0	6	5	0	0	0	0	4	0	0	0	0
MCEE	chr2	768	511	519	629	288	368	181	198	1245	1558	1514	1800	651	476	721	621
MCF2	chrX	37	33	22	69	1800	1990	1269	1120	41	56	71	48	2007	1799	2378	2180
MCF2L	chr13	346	284	199	216	4993	6182	3394	3048	742	668	587	657	12201	12744	16375	10627
MCFD2	chr2	14302	9668	8242	11620	6160	7284	4467	4301	15957	21854	23436	26685	12973	11363	15659	13007
MCHR1	chr22	16	6	10	6	125	198	82	62	36	25	12	20	370	366	498	304
MCHR2	chr6	2	6	2	9	509	618	372	370	0	0	0	0	725	669	807	714
MCL1	chr1	28086	19208	17728	25337	6848	7779	4551	4332	32695	42469	43341	50381	11750	10569	14380	12508
MCM10	chr10	3471	2246	1934	2542	9	10	8	14	3661	4481	4385	4991	13	17	24	26
MCM2	chr3	1073	810	465	400	140	171	84	84	6037	4365	2568	3821	352	467	535	316
MCM3	chr6	6025	4213	2937	3108	669	962	506	383	18526	18321	13523	18859	1511	1751	2219	1594
